Month,Total Crime,Domestic Crime,Non-domestic Crime,Crime against persons,Crime against property
01/2015,20945,3281,17664,7135,10382
02/2015,16399,2578,13821,5825,7817
03/2015,21682,3462,18220,7889,10226
04/2015,21727,3593,18134,7799,10823
05/2015,23708,4035,19673,9088,11534
06/2015,23183,3826,19357,8586,11604
07/2015,24232,3947,20285,8580,12590
08/2015,24818,3889,20929,8734,12866
09/2015,23125,3557,19568,8021,12035
10/2015,23095,3258,19837,7773,12240
11/2015,20591,3139,17452,6850,11137
12/2015,21146,3367,17779,6897,12258
01/2016,20752,3315,17437,7087,11736
02/2016,18743,3065,15678,6740,10015
03/2016,22052,3656,18396,8266,11417
04/2016,21170,3555,17615,7715,11050
05/2016,23547,3965,19582,8993,12161
06/2016,24073,4116,19957,9141,12644
07/2016,24856,4013,20843,8851,13867
08/2016,24918,4000,20918,8803,14348
09/2016,23693,3553,20140,8280,13608
10/2016,23756,3507,20249,8399,13680
11/2016,21746,3269,18477,7325,12896
12/2016,20391,3201,17190,6800,12247
01/2017,22136,3410,18726,7424,12717
02/2017,19313,2978,16335,6908,10668
03/2017,20569,3395,17174,7680,10923
04/2017,21696,3675,18021,8181,11480
05/2017,23383,3858,19525,8987,12233
06/2017,23866,3933,19933,8873,13080
07/2017,24873,4100,20773,9054,13701
08/2017,24734,3870,20864,8549,14091
09/2017,22846,3611,19235,8324,12562
10/2017,22919,3447,19472,8026,13124
11/2017,21502,3254,18248,7288,12458
12/2017,21100,3332,17768,7065,12438
01/2018,20527,3313,17214,7192,11298
02/2018,17353,2891,14462,6624,9032
03/2018,21232,3555,17677,7903,11098
04/2018,21143,3510,17633,7810,11236
05/2018,24736,4291,20445,9589,12759
06/2018,24243,4134,20109,8969,13044
07/2018,25267,4147,21120,9364,13535
08/2018,25463,4006,21457,8942,14047
09/2018,23103,3650,19453,8461,12381
10/2018,22842,3637,19205,8332,12433
11/2018,20683,3379,17304,7422,11168
12/2018,21992,3529,18463,7643,12366
01/2019,19705,3367,16338,7291,10109
02/2019,18424,3038,15386,6945,9327
03/2019,20436,3518,16918,7996,9979
04/2019,21024,3545,17479,8017,10565
05/2019,23654,4086,19568,9375,11747
06/2019,23609,3962,19647,9143,12052
07/2019,24859,4119,20740,9297,12883
08/2019,24409,3947,20462,8680,12940
09/2019,22445,3635,18810,8454,11611
10/2019,21693,3347,18346,7870,11593
11/2019,19951,3303,16648,7182,10652
12/2019,20787,3402,17385,7360,11350
01/2020,19864,3288,16576,7424,10105
02/2020,18173,3042,15131,6828,9204
03/2020,16718,3343,13375,6791,8316
04/2020,12890,2709,10181,4975,7030
05/2020,17574,3247,14327,6406,9184
06/2020,17606,3715,13891,7222,8793
07/2020,19595,3940,15655,7824,9968
08/2020,19874,3793,16081,7653,10302
09/2020,17905,3310,14595,6850,9263
10/2020,18409,3210,15199,6597,10016
11/2020,16602,3116,13486,5824,9191
12/2020,16457,3187,13270,5416,9453
01/2021,16083,3419,12664,5643,8926
02/2021,13036,2841,10195,5107,6627
03/2021,15922,3631,12291,6270,7882
04/2021,15400,3739,11661,6419,7489
05/2021,17648,4223,13425,7439,8512
06/2021,18665,4233,14432,7805,9207
07/2021,19065,4125,14940,7767,9828
08/2021,18324,4060,14264,7422,9638
09/2021,19092,3881,15211,7731,9935
10/2021,19195,3718,15477,7481,10379
11/2021,17248,3369,13879,6391,9592
12/2021,17116,3555,13561,6328,9620
01/2022,15218,3132,12086,5710,8503
02/2022,14856,2884,11972,5759,7776
03/2022,17598,3439,14159,6906,9296
